Nom du Placemark,Point #,Longitude,Latitude,Altitude
progressive 2012 pine now 15.8,1,32.31948833414824,0.9859972559867735,0.0
progressive 2012 pine now 15.8,2,32.31958621030496,0.9856009176692959,0.0
progressive 2012 pine now 15.8,3,32.31959110413278,0.9855813454378758,0.0
progressive 2012 pine now 15.8,4,32.31958621010016,0.9854932705127173,0.0
progressive 2012 pine now 15.8,5,32.31962046629904,0.985336692757191,0.0
progressive 2012 pine now 15.8,6,32.31963025019963,0.9848819716405802,0.0
progressive 2012 pine now 15.8,7,32.31963025024231,0.9848575062618722,0.0
progressive 2012 pine now 15.8,8,32.3196351443143,0.9846911418397388,0.0
progressive 2012 pine now 15.8,9,32.31949811751319,0.9844171312055392,0.0
progressive 2012 pine now 15.8,10,32.31948832993471,0.9843975589982431,0.0
progressive 2012 pine now 15.8,11,32.31943939143144,0.9841137618529955,0.0
progressive 2012 pine now 15.8,12,32.3194393913851,0.9840892965810275,0.0
progressive 2012 pine now 15.8,13,32.3194296037472,0.9840599382864845,0.0
progressive 2012 pine now 15.8,14,32.31936108958463,0.9838446440057655,0.0
progressive 2012 pine now 15.8,15,32.31935619560733,0.9838152856693029,0.0
progressive 2012 pine now 15.8,16,32.31929746907967,0.9836587078824734,0.0
progressive 2012 pine now 15.8,17,32.3192729995742,0.9836048842200167,0.0
progressive 2012 pine now 15.8,18,32.31925831738254,0.9834727714958881,0.0
progressive 2012 pine now 15.8,19,32.31927789169671,0.9833015141116992,0.0
progressive 2012 pine now 15.8,20,32.31934151074216,0.9831889735484595,0.0
progressive 2012 pine now 15.8,21,32.31942959983057,0.9832036528618462,0.0
progressive 2012 pine now 15.8,22,32.31944917506482,0.983213439029655,0.0
progressive 2012 pine now 15.8,23,32.31964982169443,0.983237904479606,0.0
progressive 2012 pine now 15.8,24,32.31978684861056,0.9833161934001415,0.0
progressive 2012 pine now 15.8,25,32.31995323725109,0.9832721558296242,0.0
progressive 2012 pine now 15.8,26,32.32026643910816,0.9832721554765846,0.0
progressive 2012 pine now 15.8,27,32.32036431457463,0.9832819414197742,0.0
progressive 2012 pine now 15.8,28,32.32061389664886,0.983306406111981,0.0
progressive 2012 pine now 15.8,29,32.32095752073828,0.9833112918174689,0.0
progressive 2012 pine now 15.8,30,32.32124136762558,0.9834482985275016,0.0
progressive 2012 pine now 15.8,31,32.32144201527053,0.983321078581003,0.0
progressive 2012 pine now 15.8,32,32.32425594049571,0.9834825409693563,0.0
progressive 2012 pine now 15.8,33,32.32431466601262,0.9835510432517082,0.0
progressive 2012 pine now 15.8,34,32.32432445386814,0.9836342249829997,0.0
progressive 2012 pine now 15.8,35,32.32438317958955,0.9837174064215702,0.0
progressive 2012 pine now 15.8,36,32.32440275487112,0.9837663367717123,0.0
progressive 2012 pine now 15.8,37,32.32442722451094,0.9839327001640221,0.0
progressive 2012 pine now 15.8,38,32.3244468000679,0.9840109887974562,0.0
progressive 2012 pine now 15.8,39,32.32449573874406,0.9841577800128692,0.0
progressive 2012 pine now 15.8,40,32.32451042067302,0.9842556409181135,0.0
progressive 2012 pine now 15.8,41,32.32453489054834,0.9843975393433041,0.0
progressive 2012 pine now 15.8,42,32.32452510306836,0.9844171116001406,0.0
progressive 2012 pine now 15.8,43,32.32440275888737,0.9845149729013973,0.0
progressive 2012 pine now 15.8,44,32.32418743310193,0.9846320773196843,0.0
progressive 2012 pine now 15.8,45,32.32405040782535,0.9848082279357712,0.0
progressive 2012 pine now 15.8,46,32.32403572656681,0.9848229071472313,0.0
progressive 2012 pine now 15.8,47,32.32391827645679,0.9849354477948102,0.0
progressive 2012 pine now 15.8,48,32.32390359529097,0.9849696991429203,0.0
progressive 2012 pine now 15.8,49,32.32379593272255,0.9850382022199682,0.0
progressive 2012 pine now 15.8,50,32.32376167649202,0.9850724536577558,0.0
progressive 2012 pine now 15.8,51,32.32363933295534,0.9851898870721509,0.0
progressive 2012 pine now 15.8,52,32.32360997050533,0.9852192454179006,0.0
progressive 2012 pine now 15.8,53,32.32331634575761,0.9853953958813894,0.0
progressive 2012 pine now 15.8,54,32.32325762080673,0.9854296473647658,0.0
progressive 2012 pine now 15.8,55,32.32323804582919,0.985444326552846,0.0
progressive 2012 pine now 15.8,56,32.32309123339948,0.9855275087564422,0.0
progressive 2012 pine now 15.8,57,32.32299603454057,0.9856005171867921,0.0
progressive 2012 pine now 15.8,58,32.32300607903218,0.9857411114800281,0.0
progressive 2012 pine now 15.8,59,32.32286546429313,0.9858515790803882,0.0
progressive 2012 pine now 15.8,60,32.32257419011567,0.9859419624943414,0.0
progressive 2012 pine now 15.8,61,32.32248379472494,0.9860022177060704,0.0
progressive 2012 pine now 15.8,62,32.32224273992258,0.9861126860483357,0.0
progressive 2012 pine now 15.8,63,32.32214230032,0.9861327714807829,0.0
progressive 2012 pine now 15.8,64,32.32168027692966,0.9862532838178972,0.0
progressive 2012 pine now 15.8,65,32.32153966067546,0.9863135397116976,0.0
progressive 2012 pine now 15.8,66,32.32130864790528,0.9863938812511934,0.0
progressive 2012 pine now 15.8,67,32.3211780752028,0.9864340521680959,0.0
progressive 2012 pine now 15.8,68,32.32102741410736,0.986444095855221,0.0
progressive 2012 pine now 15.8,69,32.32097719369073,0.9864340536483696,0.0
progressive 2012 pine now 15.8,70,32.32061560569579,0.986484269179276,0.0
progressive 2012 pine now 15.8,71,32.32054529678457,0.9865143973917879,0.0
progressive 2012 pine now 15.8,72,32.31967144958623,0.9866148315199597,0.0
progressive 2012 pine now 15.8,73,32.31943038715485,0.9862834280073008,0.0
