Nom;Point;Longitude;Latitude;Altitude
Parogressive 2010 now 15.4 pine;1;32,3175482109003;0,9923756899467427;0,0
Parogressive 2010 now 15.4 pine;2;32,31748359325407;0,9923100425128143;0,0
Parogressive 2010 now 15.4 pine;3;32,31747818479577;0,9922775967242458;0,0
Parogressive 2010 now 15.4 pine;4;32,31741869211368;0,9921478137391423;0,0
Parogressive 2010 now 15.4 pine;5;32,3173916499947;0,9920829223764616;0,0
Parogressive 2010 now 15.4 pine;6;32,31729429848885;0,9918774333654281;0,0
Parogressive 2010 now 15.4 pine;7;32,31727807325131;0,9918558029635868;0,0
Parogressive 2010 now 15.4 pine;8;32,31719694712961;0,9917314282751551;0,0
Parogressive 2010 now 15.4 pine;9;32,31716990508103;0,9916935751997626;0,0
Parogressive 2010 now 15.4 pine;10;32,31702928652773;0,9916611300999258;0,0
Parogressive 2010 now 15.4 pine;11;32,31635323388204;0,9909311072219412;0,0
Parogressive 2010 now 15.4 pine;12;32,31623462021442;0,9908445859026794;0,0
Parogressive 2010 now 15.4 pine;13;32,31608318515094;0,9907364346240549;0,0
Parogressive 2010 now 15.4 pine;14;32,31606695994618;0,990714804343132;0,0
Parogressive 2010 now 15.4 pine;15;32,31603450958681;0,9906985816645891;0,0
Parogressive 2010 now 15.4 pine;16;32,31585603262458;0,9906174683031027;0,0
Parogressive 2010 now 15.4 pine;17;32,31585062418093;0,9905958379936118;0,0
Parogressive 2010 now 15.4 pine;18;32,31579113165488;0,9904822788603612;0,0
Parogressive 2010 now 15.4 pine;19;32,31577490640336;0,9904498334045936;0,0
Parogressive 2010 now 15.4 pine;20;32,31572623070515;0,9903741272626011;0,0
Parogressive 2010 now 15.4 pine;21;32,31572082229946;0,9903633121399309;0,0
Parogressive 2010 now 15.4 pine;22;32,3155369366478;0,990282198513142;0,0
Parogressive 2010 now 15.4 pine;23;32,31534223396763;0,9902010847261904;0,0
Parogressive 2010 now 15.4 pine;24;32,31530437510298;0,9902010847315456;0,0
Parogressive 2010 now 15.4 pine;25;32,31527192469;0,9902010847334098;0,0
Parogressive 2010 now 15.4 pine;26;32,3151313057224;0,9901253782995276;0,0
Parogressive 2010 now 15.4 pine;27;32,31517998097409;0,9900172262810321;0,0
Parogressive 2010 now 15.4 pine;28;32,31529355771283;0,9900226339821894;0,0
Parogressive 2010 now 15.4 pine;29;32,31543958417559;0,9898982591428225;0,0
Parogressive 2010 now 15.4 pine;30;32,3154990763187;0,98981173744557;0,0
Parogressive 2010 now 15.4 pine;31;32,31542876681003;0,989752253703781;0,0
Parogressive 2010 now 15.4 pine;32;32,31546974910081;0,9897201486628047;0,0
Parogressive 2010 now 15.4 pine;33;32,31552805674045;0,9896708185834139;0,0
Parogressive 2010 now 15.4 pine;34;32,31553254194983;0,9896663340542431;0,0
Parogressive 2010 now 15.4 pine;35;32,31559533468714;0,9895587050921052;0,0
Parogressive 2010 now 15.4 pine;36;32,31560879029039;0,9895362823987238;0,0
Parogressive 2010 now 15.4 pine;37;32,31570297922992;0,9893613855147128;0,0
Parogressive 2010 now 15.4 pine;38;32,31584202017048;0,9892403029565457;0,0
Parogressive 2010 now 15.4 pine;39;32,31585996092461;0,9892133957475819;0,0
Parogressive 2010 now 15.4 pine;40;32,31590481281187;0,989173034903291;0,0
Parogressive 2010 now 15.4 pine;41;32,31596760547292;0,9891192204315767;0,0
Parogressive 2010 now 15.4 pine;42;32,31603488338262;0,9890923131290238;0,0
Parogressive 2010 now 15.4 pine;43;32,31609767608708;0,9890609212830057;0,0
Parogressive 2010 now 15.4 pine;44;32,3161156168387;0,9890429831281662;0,0
Parogressive 2010 now 15.4 pine;45;32,31639818418438;0,9889219001209257;0,0
Parogressive 2010 now 15.4 pine;46;32,31641612496035;0,9889039619634833;0,0
Parogressive 2010 now 15.4 pine;47;32,31651928455635;0,9888411781587139;0,0
Parogressive 2010 now 15.4 pine;48;32,31671214849649;0,9888680847582108;0,0
Parogressive 2010 now 15.4 pine;49;32,31680633798968;0,9888277236065895;0,0
Parogressive 2010 now 15.4 pine;50;32,31691398314718;0,9887694241593272;0,0
Parogressive 2010 now 15.4 pine;51;32,31693192405914;0,9887604549896868;0,0
Parogressive 2010 now 15.4 pine;52;32,31704853987806;0,988679732650797;0,0
Parogressive 2010 now 15.4 pine;53;32,31707545122993;0,9886617943074539;0,0
Parogressive 2010 now 15.4 pine;54;32,31709339218655;0,9886528251542976;0,0
Parogressive 2010 now 15.4 pine;55;32,31720103773704;0,988715608292985;0,0
Parogressive 2010 now 15.4 pine;56;32,31738493295923;0,9885093177199259;0,0
Parogressive 2010 now 15.4 pine;57;32,31739390345776;0,9884824102130914;0,0
Parogressive 2010 now 15.4 pine;58;32,31747912372732;0,9883702954189771;0,0
Parogressive 2010 now 15.4 pine;59;32,31769890274128;0,9881819412138627;0,0
