code,libelle
X_T,"Total exports of goods, USD"
X_Manuf,"Exports of manufactured goods, USD"
X_MHT,"Exports of medium- and high-technology manufactured goods, USD"
M_T,"Total imports of goods, USD"
M_Manuf,"Imports of manufactured goods, USD"
M_MHT,"Imports of medium- and high-technology manufactured goods, USD"
