source,pays,indicateur,code_indicateur,annee,valeur
World Bank,Senegal,MVA annual growth %,NV.IND.MANF.KD.ZG,2002,3.12243128119694
World Bank,Senegal,MVA annual growth %,NV.IND.MANF.KD.ZG,2001,7.5950800880783
World Bank,Senegal,MVA annual growth %,NV.IND.MANF.KD.ZG,2000,8.83858966579385
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2025,13.2024901187578
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2024,14.2223141039377
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2023,14.5435051681933
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2022,15.5609051361032
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2021,15.0896077803993
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2020,14.6422445114601
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2019,14.8921153803941
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2018,15.5256232627653
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2017,15.8290512161897
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2016,16.4126562605797
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2015,17.0430550070656
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2014,16.9974155601834
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2013,17.3800241394178
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2012,16.9951058363143
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2011,17.2457486401925
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2010,15.5728888059142
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2009,15.7656823110789
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2008,17.5393313172084
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2007,18.6161273761302
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2006,19.245473801956
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2005,19.9057752906815
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2004,20.9593657923194
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2003,20.5758896261028
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2002,21.586895139585
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2001,20.9839620681588
World Bank,Senegal,MVA % of GDP,NV.IND.MANF.ZS,2000,20.83892501498
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2025,4885784290.16574
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2024,4575317885.71848
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2023,4464322528.44788
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2022,4323337970.81899
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2021,4152778383.26978
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2020,3591817698.90322
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2019,3485350086.77162
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2018,3589011994.3838
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2017,3318571600.17515
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2016,3125021014.18664
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2015,3029363265.40684
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2014,3365021436.74505
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2013,3288069017.44068
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2012,3001483618.05274
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2011,3072206578.48666
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2010,2510554600.57053
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2009,2545506175.62007
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2008,2956077080.94359
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2007,2605181525.05085
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2006,2251319790.83147
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2005,2191433457.83213
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2004,2112036865.37822
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2003,1804242470.46063
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2002,1512464721.82373
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2001,1365599493.63467
World Bank,Senegal,"MVA (valeur ajoutée manufacturière, US$ courants)",NV.IND.MANF.CD,2000,1253083113.99042
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2025,6034.70707599659
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2024,5407.30717889404
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2023,4753.18401825524
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2022,4649.76147534373
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2021,4841.43740224328
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2020,4875.47656302054
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2019,5164.03044897977
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2018,6318.03804621565
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2017,7730.47487001488
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2016,8252.18482587501
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2015,9045.94553745787
World Bank,Senegal,Industry value added per worker (constant 2015 US$),NV.IND.EMPL.KD,2014,7981.56973280306
